net,length_um
net2,50.74
net3,43.57
net4,32.54
net1,30.94
net5,27.66
clk,19.09
_08_,18.64
clknet_0_clk,16.98
_09_,14.335
_00_,13.465
_07_,13.04
_04_,12.74
_05_,11.32
clknet_1_0__leaf_clk,10.16
_11_,9.98
clknet_1_1__leaf_clk,9.62
count[3],9.37
reset,9.03
count[0],8.69
count[1],8.69
count[2],8.51
_03_,6.505
_06_,6.045
_10_,5.34
_12_,5.34
_02_,2.86
_01_,1.405
