net,length_um
_04329_,3479.33
_00607_,3477.64
_03939_,3476.63
_02939_,3475.79
_02573_,3474.82
decoder.rf.ram\[12\]\[29\],3473.38
decoder.rf.ram\[22\]\[17\],3467.605
_04443_,3466.82
net1100,3461.91
_02731_,3458.9
_00454_,3458.06
_00175_,3453.845
decoder.rf.ram\[27\]\[12\],3449.515
_04000_,3448.92
_00937_,3446.96
decoder.rf.ram\[29\]\[30\],3442.4
_02668_,3431.14
net1897,3430.795
decoder.rf.ram\[18\]\[13\],3430.71
decoder.rf.ram\[19\]\[0\],3429.815
net1729,3428.855
_03170_,3426.58
_00561_,3424.76
net1813,3424.58
_00497_,3423.56
_00220_,3420.065
decoder.rf.ram\[24\]\[16\],3414.8
decoder.rf.ram\[4\]\[14\],3413.695
decoder.rf.ram\[11\]\[28\],3409.36
_02080_,3407.22
decoder.rf.ram\[5\]\[26\],3400.14
_03575_,3399.18
decoder.rf.ram\[19\]\[4\],3398.4
net1811,3397.305
_01071_,3397.075
decoder.rf.ram\[16\]\[21\],3387.88
decoder.rf.ram\[4\]\[18\],3383.81
_03953_,3380.71
_01069_,3379.525
decoder.rf.ram\[10\]\[19\],3378.835
net1465,3374.08
_00833_,3370.125
_04177_,3368.08
net1149,3367.25
net1400,3365.655
_00168_,3361.22
decoder.rf.ram\[30\]\[31\],3359.17
decoder.rf.ram\[8\]\[19\],3358.955
net1787,3356.665
_02936_,3356.64
_00332_,3354.9
decoder.rf.ram\[29\]\[18\],3352.05
decoder.rf.ram\[30\]\[6\],3351.945
_03566_,3349.46
_02879_,3349.4
_02656_,3348.55
decoder.rf.ram\[20\]\[5\],3346.335
net1252,3341.26
decoder.rf.ram\[2\]\[15\],3340.22
net1751,3339.365
_00821_,3333.94
_02815_,3332.29
_03598_,3329.57
_03811_,3328.55
_03417_,3328.12
net344,3325.29
_00398_,3324.74
net33,3320.275
decoder.rf.ram\[20\]\[19\],3319.66
_03902_,3314.58
decoder.rf.ram\[11\]\[22\],3312.8
net1529,3312.5
decoder.rf.ram\[0\]\[2\],3311.5
_03152_,3308.08
_03400_,3306.45
net1456,3304.65
