net,length_um
_01244_,7657.32
_01342_,7599.39
_03296_,7573.08
_01803_,7452.32
_02854_,7384.32
_03506_,7368.67
_03503_,7336.28
_01157_,7313.72
_01290_,7290.15
_02616_,7284.44
_03580_,7250.295
_03124_,7231.05
_01475_,7176.735
_01560_,7170.445
_02398_,7145.39
_02576_,7133.405
_01910_,7046.175
_03139_,7027.77
_02641_,7000.45
_02377_,6965.76
_02394_,6953.56
_01303_,6943.935
_01211_,6914.86
_02781_,6897.51
_01246_,6865.745
_04413_,6800.66
_02643_,6789.48
_01438_,6769.96
_02541_,6758.2
_04211_,6746.36
_01135_,6732.53
_01795_,6707.985
_02843_,6689.565
_02385_,6686.43
_03474_,6662.19
_01258_,6661.24
_02298_,6619.72
_03082_,6613.21
_01577_,6589.87
_03197_,6579.13
_01567_,6578.75
_01573_,6508.85
_02375_,6496.68
_01315_,6493.02
_01797_,6489.98
_02062_,6443.51
_03482_,6417.8
_00080_,6389.19
_01193_,6389.03
_01349_,6383.52
_04319_,6346.51
_02391_,6334.95
_01790_,6333.87
_03307_,6278.18
_03056_,6276.24
_03181_,6268.51
_03153_,6229.51
_01807_,6225.9
_03151_,6220.81
_01392_,6212.865
_02807_,6212.23
_01300_,6194.45
_01836_,6191.8
_02396_,6186.465
_02595_,6182.08
_04222_,6178.9
_01281_,6173.43
_03761_,6170.62
_01572_,6159.33
_02622_,6157.29
_04186_,6151.25
_03163_,6147.21
_01309_,6146.285
_01830_,6132.08
_03354_,6119
_03234_,6098.68
_04269_,6095.74
_01188_,6089.69
_03031_,6086.08
_02419_,6085.765
_03177_,6085.09
_03104_,6083.33
_04452_,6077.865
_01552_,6062.145
_03260_,6038.66
_02633_,6035.14
_02948_,6033.26
_01549_,6025.97
_01835_,6020.2
_01787_,6017.65
_01208_,6016.66
_02959_,6014.2
_01294_,6013.675
_01834_,6009.99
_02406_,6004.9
_02563_,6003.7
_03136_,5993.4
_03161_,5961.42
_02922_,5959.67
_01231_,5946.505
_01831_,5921.17
_01180_,5902.53
_02973_,5894.29
_03093_,5857.42
_01347_,5846.26
_02671_,5827.3
_04305_,5822.77
_03167_,5810.39
_02437_,5808.51
_02306_,5805.95
_01151_,5801.82
_03492_,5800.9
_01326_,5789.71
_03465_,5778.53
_02604_,5770.175
_01306_,5756.68
_01146_,5755.62
_04233_,5737.84
_03134_,5725.92
_02635_,5710.25
_02425_,5693.2
_02417_,5677.03
_02723_,5670.49
_01793_,5669.47
_01163_,5647.56
_03973_,5634.78
_01585_,5607.97
_01185_,5574.73
_03426_,5548.24
_01321_,5537.97
_01245_,5533.6
_02618_,5529.7
_03149_,5516.98
_02373_,5516.67
_03128_,5503.82
_03644_,5490.825
_01149_,5444.69
_02631_,5440.945
_01789_,5435.94
_03143_,5348.925
_00081_,5341.92
_03457_,5339.62
_01181_,5325.96
_02581_,5263.8
_02639_,5263.08
_01158_,5206
_01287_,5204.3
_02539_,5165.48
_00411_,5164.51
_01166_,5154.28
_01307_,5100.42
_02645_,5086.08
_03460_,5048.35
_00079_,5040.2
_03332_,5013.57
_01340_,4992.12
_01276_,4920.46
_01481_,4913.72
net2,4880.08
_03466_,4878.79
_04283_,4832.03
_03147_,4830.94
_02221_,4811.72
_04430_,4758.19
_03119_,4752.39
_02369_,4746.12
_03132_,4744.23
_01136_,4709.89
_03141_,4698.49
_02101_,4694.045
_01257_,4668.14
_00837_,4613.48
_00897_,4520.34
decoder.rf.ram\[1\]\[19\],4506.745
_00460_,4493.3
_01851_,4449.775
_00465_,4403.155
_00990_,4358.145
_00044_,4356.9
_00188_,4325.26
net1709,4260.805
_00511_,4253.74
_03659_,4251.07
_02307_,4250.78
_02694_,4230.29
_03127_,4211.35
_00457_,4205.495
decoder.rf.ram\[3\]\[25\],4196.295
_00209_,4184.18
_00069_,4151.145
_02766_,4148.025
_00512_,4144.7
_00310_,4140.965
_00234_,4127.7
_03881_,4122.5
_00751_,4121.935
_02005_,4105.69
_00294_,4103.86
net1800,4084.68
_03238_,4044.99
_01938_,4009.69
_00226_,4009.445
_04331_,4009.2
decoder.rf.ram\[12\]\[24\],4001.455
_00758_,3994.93
_00093_,3993.135
decoder.rf.ram\[12\]\[10\],3988.24
_02980_,3984.16
net791,3976.1
net1439,3969.06
_00637_,3958.515
net1,3951.1
_00454_,3946.61
_00029_,3937.2
_04232_,3921.53
_03198_,3919.78
net1400,3914.74
_01449_,3912.7
_02670_,3898.095
decoder.rf.ram\[26\]\[1\],3897.9
_00057_,3877.545
_02083_,3872.4
net1158,3871.47
_03412_,3865.2
_00649_,3853.75
_00423_,3849.68
net1269,3849.44
_03745_,3849.01
_01106_,3843.45
