net,length_um
_1762_,3463.57
ram\[31\]\[8\],3461.46
ram\[4\]\[14\],3459.5
_0992_,3456.76
_3570_,3449.12
_0626_,3447.975
_1436_,3446.54
net682,3441.24
_3871_,3440.5
net5,3437.175
net1207,3436.88
_0100_,3436.76
net870,3433.73
ram\[14\]\[31\],3431.37
net1250,3429.43
_3769_,3427.91
net582,3424.66
ram\[3\]\[31\],3420.84
_3434_,3415.77
_3081_,3412.72
_3447_,3412.17
ram\[14\]\[21\],3406.57
net500,3389.88
net1119,3388.9
net30,3382.33
net1036,3377.24
_2606_,3377.15
_0160_,3373.975
_0807_,3371.02
net655,3366.41
ram\[4\]\[18\],3365.655
_2659_,3351.8
net1275,3349.51
_1405_,3347.12
_0214_,3346.12
ram\[5\]\[2\],3342.46
ram\[7\]\[0\],3342.24
_0734_,3342.18
_0717_,3336.325
_3013_,3336.02
ram\[15\]\[5\],3335.37
_0538_,3333.685
_0199_,3331.635
ram\[19\]\[0\],3331.08
net965,3330.15
_0574_,3325.595
ram\[7\]\[20\],3325.44
_3367_,3324.53
net552,3324.16
net28,3317.21
_3022_,3317.15
_3089_,3314.14
net563,3309.73
ram\[6\]\[14\],3308.02
net729,3301.74
net420,3299.27
_2951_,3295.88
net1242,3295.39
_3391_,3295.06
_0137_,3294.58
_0938_,3293.02
ram\[1\]\[11\],3290.23
net1112,3290.21
_0494_,3289.85
_0034_,3288.805
_0122_,3288.635
_0403_,3286.075
ram\[2\]\[21\],3285.48
_2914_,3285.04
net681,3283.765
_0949_,3283.64
_2479_,3283
net258,3279.43
_0897_,3278.475
ram\[2\]\[31\],3276.19
ram\[5\]\[20\],3270.655
ram\[21\]\[23\],3264.76
_1416_,3262.44
ram\[22\]\[30\],3262.3
_0363_,3258.53
ram\[6\]\[15\],3254.86
_1758_,3253.92
_0844_,3252.755
_0766_,3251.42
_0030_,3250.56
ram\[7\]\[29\],3249.755
ram\[29\]\[16\],3247.595
ram\[20\]\[31\],3247.46
_0260_,3246.64
net1218,3242.93
ram\[5\]\[22\],3240.81
net779,3240.58
ram\[29\]\[24\],3236.16
ram\[18\]\[20\],3232.8
_3786_,3231.25
net475,3229.16
ram\[20\]\[14\],3228.12
net382,3226.24
_1746_,3226.02
net732,3224.07
_3183_,3217.82
_0473_,3216.54
_0838_,3209.42
ram\[30\]\[1\],3209.19
ram\[18\]\[14\],3204.24
_0928_,3200.28
net675,3199.06
_0342_,3197.89
net764,3194.24
ram\[7\]\[17\],3191.02
_0101_,3190.72
ram\[0\]\[13\],3187.08
net917,3185.02
ram\[6\]\[11\],3183.41
net91,3183.09
ram\[5\]\[0\],3181.7
ram\[13\]\[7\],3180.81
ram\[23\]\[13\],3180.59
_2928_,3175.72
_0749_,3172.68
_0942_,3171.585
ram\[11\]\[30\],3169.3
net934,3169.23
net684,3165.54
_0457_,3163.58
ram\[8\]\[13\],3162.34
ram\[4\]\[2\],3161.58
ram\[16\]\[21\],3160.23
ram\[11\]\[5\],3159.93
net631,3156.25
_3809_,3154.78
ram\[23\]\[22\],3153.59
ram\[22\]\[11\],3152.68
_2826_,3151.3
_2843_,3150.25
_1958_,3147.56
ram\[22\]\[15\],3146.63
ram\[15\]\[1\],3146.06
net325,3145.62
net551,3141.94
ram\[31\]\[5\],3141.03
net373,3140.94
_1265_,3140.3
ram\[4\]\[0\],3137.68
_2105_,3137.16
ram\[3\]\[1\],3136.7
net1201,3136.57
_3516_,3135.58
_0727_,3133.86
_3388_,3133.15
_0454_,3132.72
net451,3131.6
_0703_,3131.475
ram\[15\]\[17\],3129.81
_2114_,3129.735
ram\[0\]\[0\],3128.94
ram\[29\]\[4\],3128.58
ram\[11\]\[8\],3126.84
net728,3125.7
